student_id,overall_n_questions,overall_accuracy,overall_avg_time_seconds,overall_avg_confidence
student_0001,75,0.6533,31.6,3.04
student_0002,75,0.52,45.77,2.55
student_0003,75,0.6133,53.02,3.03
student_0004,75,0.6133,45.93,2.83
student_0005,75,0.6,49.36,2.81
student_0006,75,0.52,39.1,2.61
student_0007,75,0.4667,45.05,2.48
student_0008,75,0.5067,50.78,2.35
student_0009,75,0.5867,36.23,2.64
student_0010,75,0.5333,55.39,2.53
student_0011,75,0.56,47.4,2.72
student_0012,75,0.5333,39.72,2.89
student_0013,75,0.5733,47.72,2.87
student_0014,75,0.5867,50.27,3.17
student_0015,75,0.5333,60.93,2.6
student_0016,75,0.64,38.7,2.85
student_0017,75,0.4933,56.52,2.09
student_0018,75,0.64,44.65,3.33
student_0019,75,0.44,63.64,2.29
student_0020,75,0.4267,54.42,1.72
student_0021,75,0.4533,43.13,2.43
student_0022,75,0.4667,47.83,2.69
student_0023,75,0.5333,50.95,3.01
student_0024,75,0.5733,50.31,2.85
student_0025,75,0.56,45.62,2.61
student_0026,75,0.5067,50.85,2.12
student_0027,75,0.4933,55.86,2.47
student_0028,75,0.5333,46.51,2.25
student_0029,75,0.4267,48.27,2.21
student_0030,75,0.5333,47.05,2.69
student_0031,75,0.4933,43.3,2.73
student_0032,75,0.56,36.9,2.51
student_0033,75,0.4667,49.43,2.12
student_0034,75,0.4933,46.5,2.87
student_0035,75,0.6267,45.45,2.89
student_0036,75,0.52,43.85,2.32
student_0037,75,0.48,54.56,2.44
student_0038,75,0.4933,47.1,2.05
student_0039,75,0.5867,40.59,2.61
student_0040,75,0.56,33.37,3.16
student_0041,75,0.6,42.47,3.17
student_0042,75,0.68,37.19,3.19
student_0043,75,0.6533,31.35,2.83
student_0044,75,0.4667,53.97,2.36
student_0045,75,0.4667,41.76,2.59
student_0046,75,0.64,45.19,2.43
student_0047,75,0.4933,42.84,2.08
student_0048,75,0.56,53.55,2.81
student_0049,75,0.4667,44.5,2.05
student_0050,75,0.5333,47.25,2.75
student_0051,75,0.44,37.55,2.0
student_0052,75,0.4533,54.07,2.33
student_0053,75,0.56,45.09,2.83
student_0054,75,0.5067,39.57,2.4
student_0055,75,0.4267,58.79,1.96
student_0056,75,0.56,50.51,2.64
student_0057,75,0.52,51.74,2.48
student_0058,75,0.5067,58.07,2.71
student_0059,75,0.3067,51.18,1.97
student_0060,75,0.4533,44.52,2.29
student_0061,75,0.4933,32.31,2.6
student_0062,75,0.5867,37.9,2.79
student_0063,75,0.5733,45.24,2.71
student_0064,75,0.48,51.63,2.92
student_0065,75,0.4933,49.64,2.31
student_0066,75,0.4933,55.96,2.31
student_0067,75,0.6133,44.59,2.89
student_0068,75,0.6533,42.59,2.85
student_0069,75,0.52,42.28,2.57
student_0070,75,0.6667,30.78,3.53
student_0071,75,0.6133,45.55,2.69
student_0072,75,0.56,40.83,2.67
student_0073,75,0.48,48.9,2.43
student_0074,75,0.56,52.3,3.09
student_0075,75,0.56,43.7,2.99
student_0076,75,0.6,39.94,2.95
student_0077,75,0.5867,41.39,3.13
student_0078,75,0.4133,52.73,1.81
student_0079,75,0.6,39.25,3.32
student_0080,75,0.48,46.46,2.71
student_0081,75,0.4933,42.08,2.36
student_0082,75,0.4667,60.66,2.45
student_0083,75,0.48,58.69,2.51
student_0084,75,0.5067,46.38,2.68
