student_id,topic,error_type,error_share
student_0001,Algebra,algebra,0.25
student_0001,Algebra,none,0.75
student_0001,Derivate,concetto,0.1429
student_0001,Derivate,formula,0.1905
student_0001,Derivate,none,0.619
student_0001,Derivate,segno,0.0476
student_0001,Fisica_Dinamica,concetto,0.1667
student_0001,Fisica_Dinamica,distrazione,0.0833
student_0001,Fisica_Dinamica,formula,0.1667
student_0001,Fisica_Dinamica,none,0.5833
student_0001,Fisica_Energia,concetto,0.2222
student_0001,Fisica_Energia,formula,0.0556
student_0001,Fisica_Energia,none,0.7222
student_0001,Funzioni,algebra,0.0625
student_0001,Funzioni,concetto,0.125
student_0001,Funzioni,distrazione,0.125
student_0001,Funzioni,none,0.625
student_0001,Funzioni,segno,0.0625
student_0002,Algebra,algebra,0.375
student_0002,Algebra,distrazione,0.125
student_0002,Algebra,none,0.375
student_0002,Algebra,segno,0.125
student_0002,Derivate,algebra,0.0476
student_0002,Derivate,distrazione,0.1905
student_0002,Derivate,formula,0.1429
student_0002,Derivate,none,0.4762
student_0002,Derivate,segno,0.1429
student_0002,Fisica_Dinamica,concetto,0.3333
student_0002,Fisica_Dinamica,formula,0.3333
student_0002,Fisica_Dinamica,none,0.3333
student_0002,Fisica_Energia,concetto,0.2778
student_0002,Fisica_Energia,formula,0.1111
student_0002,Fisica_Energia,none,0.5556
student_0002,Fisica_Energia,segno,0.0556
student_0002,Funzioni,algebra,0.0625
student_0002,Funzioni,distrazione,0.0625
student_0002,Funzioni,formula,0.0625
student_0002,Funzioni,none,0.75
student_0002,Funzioni,segno,0.0625
student_0003,Algebra,algebra,0.125
student_0003,Algebra,distrazione,0.125
student_0003,Algebra,formula,0.125
student_0003,Algebra,none,0.375
student_0003,Algebra,segno,0.25
student_0003,Derivate,algebra,0.0952
student_0003,Derivate,concetto,0.0952
student_0003,Derivate,formula,0.0952
student_0003,Derivate,none,0.7143
student_0003,Fisica_Dinamica,concetto,0.0833
student_0003,Fisica_Dinamica,distrazione,0.1667
student_0003,Fisica_Dinamica,formula,0.0833
student_0003,Fisica_Dinamica,none,0.6667
student_0003,Fisica_Energia,concetto,0.3333
student_0003,Fisica_Energia,formula,0.1111
student_0003,Fisica_Energia,none,0.5556
student_0003,Funzioni,algebra,0.0625
student_0003,Funzioni,concetto,0.0625
student_0003,Funzioni,distrazione,0.125
student_0003,Funzioni,formula,0.125
student_0003,Funzioni,none,0.625
student_0004,Algebra,concetto,0.125
student_0004,Algebra,none,0.5
student_0004,Algebra,segno,0.375
student_0004,Derivate,algebra,0.0476
student_0004,Derivate,concetto,0.0952
student_0004,Derivate,distrazione,0.0476
student_0004,Derivate,none,0.6667
student_0004,Derivate,segno,0.1429
