question_id,test_id,topic,subskill,difficulty,correct_answer
test_01_q_01,test_01,Algebra,equazioni_lineari,4,13.75
test_01_q_02,test_01,Derivate,regole_base,4,0.24
test_01_q_03,test_01,Derivate,catena,4,8.42
test_01_q_04,test_01,Fisica_Dinamica,attrito,1,5.73
test_01_q_05,test_01,Derivate,prodotto,1,10.33
test_01_q_06,test_01,Fisica_Energia,energia_cinetica,5,12.34
test_01_q_07,test_01,Derivate,regole_base,1,5.21
test_01_q_08,test_01,Derivate,catena,5,9.75
test_01_q_09,test_01,Algebra,equazioni_lineari,4,16.11
test_01_q_10,test_01,Funzioni,grafico,5,7.86
test_01_q_11,test_01,Fisica_Dinamica,newton,2,11.83
test_01_q_12,test_01,Derivate,prodotto,1,12.15
test_01_q_13,test_01,Fisica_Energia,conservazione,2,7.44
test_01_q_14,test_01,Fisica_Energia,conservazione,2,13.08
test_01_q_15,test_01,Fisica_Dinamica,newton,3,5.8
test_01_q_16,test_01,Algebra,segni,2,13.25
test_01_q_17,test_01,Fisica_Energia,energia_cinetica,1,4.14
test_01_q_18,test_01,Fisica_Energia,lavoro,2,6.67
test_01_q_19,test_01,Derivate,catena,5,11.09
test_01_q_20,test_01,Funzioni,dominio,4,11.12
test_01_q_21,test_01,Fisica_Energia,lavoro,5,11.45
test_01_q_22,test_01,Algebra,equazioni_lineari,4,2.71
test_01_q_23,test_01,Funzioni,composizione,3,6.81
test_01_q_24,test_01,Derivate,regole_base,1,17.47
test_01_q_25,test_01,Derivate,catena,4,1.59
test_02_q_01,test_02,Derivate,regole_base,4,10.81
test_02_q_02,test_02,Derivate,prodotto,1,13.97
test_02_q_03,test_02,Derivate,prodotto,1,7.69
test_02_q_04,test_02,Fisica_Energia,lavoro,2,3.62
test_02_q_05,test_02,Derivate,regole_base,2,5.4
test_02_q_06,test_02,Fisica_Energia,lavoro,5,13.45
test_02_q_07,test_02,Funzioni,dominio,3,10.79
test_02_q_08,test_02,Fisica_Energia,energia_cinetica,3,12.28
test_02_q_09,test_02,Derivate,regole_base,1,8.18
test_02_q_10,test_02,Algebra,frazioni,4,12.43
test_02_q_11,test_02,Fisica_Dinamica,forze,1,10.06
test_02_q_12,test_02,Fisica_Energia,lavoro,3,13.33
test_02_q_13,test_02,Fisica_Dinamica,newton,2,7.88
test_02_q_14,test_02,Fisica_Dinamica,attrito,4,2.76
test_02_q_15,test_02,Funzioni,grafico,1,5.01
test_02_q_16,test_02,Funzioni,composizione,3,8.11
test_02_q_17,test_02,Fisica_Dinamica,forze,5,8.22
test_02_q_18,test_02,Funzioni,composizione,4,8.97
test_02_q_19,test_02,Derivate,regole_base,1,8.3
test_02_q_20,test_02,Algebra,segni,4,12.17
test_02_q_21,test_02,Funzioni,composizione,3,7.03
test_02_q_22,test_02,Derivate,catena,1,7.35
test_02_q_23,test_02,Fisica_Dinamica,attrito,3,10.11
test_02_q_24,test_02,Algebra,scomposizione,1,4.88
test_02_q_25,test_02,Fisica_Dinamica,forze,3,11.1
test_03_q_01,test_03,Algebra,segni,1,11.78
test_03_q_02,test_03,Funzioni,composizione,1,4.06
test_03_q_03,test_03,Fisica_Dinamica,newton,2,8.05
test_03_q_04,test_03,Fisica_Energia,energia_cinetica,2,13.18
test_03_q_05,test_03,Funzioni,dominio,1,4.92
test_03_q_06,test_03,Fisica_Energia,energia_cinetica,4,14.19
test_03_q_07,test_03,Funzioni,grafico,4,12.07
test_03_q_08,test_03,Derivate,regole_base,3,-0.66
test_03_q_09,test_03,Fisica_Energia,lavoro,5,7.92
test_03_q_10,test_03,Funzioni,composizione,3,9.3
test_03_q_11,test_03,Funzioni,composizione,1,9.21
test_03_q_12,test_03,Fisica_Energia,lavoro,3,1.63
test_03_q_13,test_03,Fisica_Dinamica,forze,1,11.4
test_03_q_14,test_03,Funzioni,composizione,4,10.65
test_03_q_15,test_03,Funzioni,dominio,4,4.08
test_03_q_16,test_03,Fisica_Energia,lavoro,1,6.37
test_03_q_17,test_03,Derivate,prodotto,2,14.19
test_03_q_18,test_03,Fisica_Energia,conservazione,2,14.66
test_03_q_19,test_03,Fisica_Dinamica,newton,4,9.8
test_03_q_20,test_03,Derivate,catena,5,12.23
test_03_q_21,test_03,Derivate,regole_base,2,3.61
test_03_q_22,test_03,Derivate,regole_base,5,17.9
test_03_q_23,test_03,Fisica_Energia,conservazione,2,11.43
test_03_q_24,test_03,Fisica_Energia,energia_cinetica,2,11.1
test_03_q_25,test_03,Funzioni,grafico,3,12.14
