student_id,test_id,question_id,topic,subskill,difficulty,correct_answer,answer_given,is_correct,error_type,time_seconds,confidence
student_0001,test_01,test_01_q_01,Algebra,equazioni_lineari,4,13.75,13.75,1,none,22.69,4
student_0001,test_01,test_01_q_02,Derivate,regole_base,4,0.24,-0.24,0,segno,34.19,2
student_0001,test_01,test_01_q_03,Derivate,catena,4,8.42,5.93,0,formula,32.99,2
student_0001,test_01,test_01_q_04,Fisica_Dinamica,attrito,1,5.73,5.73,1,none,31.88,3
student_0001,test_01,test_01_q_05,Derivate,prodotto,1,10.33,10.33,1,none,35.8,3
student_0001,test_01,test_01_q_06,Fisica_Energia,energia_cinetica,5,12.34,11.0,0,concetto,42.04,2
student_0001,test_01,test_01_q_07,Derivate,regole_base,1,5.21,5.21,1,none,16.43,3
student_0001,test_01,test_01_q_08,Derivate,catena,5,9.75,13.39,0,formula,55.8,2
student_0001,test_01,test_01_q_09,Algebra,equazioni_lineari,4,16.11,12.18,0,algebra,24.71,3
student_0001,test_01,test_01_q_10,Funzioni,grafico,5,7.86,7.86,1,none,45.1,4
student_0001,test_01,test_01_q_11,Fisica_Dinamica,newton,2,11.83,-1.05,0,concetto,26.29,3
student_0001,test_01,test_01_q_12,Derivate,prodotto,1,12.15,12.15,1,none,20.87,3
student_0001,test_01,test_01_q_13,Fisica_Energia,conservazione,2,7.44,7.44,1,none,37.53,3
student_0001,test_01,test_01_q_14,Fisica_Energia,conservazione,2,13.08,13.08,1,none,14.47,3
student_0001,test_01,test_01_q_15,Fisica_Dinamica,newton,3,5.8,5.8,1,none,48.35,3
student_0001,test_01,test_01_q_16,Algebra,segni,2,13.25,13.25,1,none,14.4,4
student_0001,test_01,test_01_q_17,Fisica_Energia,energia_cinetica,1,4.14,4.14,1,none,47.92,3
student_0001,test_01,test_01_q_18,Fisica_Energia,lavoro,2,6.67,6.67,1,none,25.59,3
student_0001,test_01,test_01_q_19,Derivate,catena,5,11.09,5.17,0,concetto,38.83,2
student_0001,test_01,test_01_q_20,Funzioni,dominio,4,11.12,9.99,0,distrazione,30.98,3
student_0001,test_01,test_01_q_21,Fisica_Energia,lavoro,5,11.45,11.45,1,none,38.2,3
student_0001,test_01,test_01_q_22,Algebra,equazioni_lineari,4,2.71,2.71,1,none,31.3,4
student_0001,test_01,test_01_q_23,Funzioni,composizione,3,6.81,6.81,1,none,32.41,4
student_0001,test_01,test_01_q_24,Derivate,regole_base,1,17.47,17.47,1,none,26.35,3
student_0001,test_01,test_01_q_25,Derivate,catena,4,1.59,2.07,0,formula,31.1,2
student_0001,test_02,test_02_q_01,Derivate,regole_base,4,10.81,10.81,1,none,36.09,3
student_0001,test_02,test_02_q_02,Derivate,prodotto,1,13.97,13.97,1,none,37.69,3
student_0001,test_02,test_02_q_03,Derivate,prodotto,1,7.69,7.69,1,none,19.0,3
student_0001,test_02,test_02_q_04,Fisica_Energia,lavoro,2,3.62,3.62,1,none,30.62,3
student_0001,test_02,test_02_q_05,Derivate,regole_base,2,5.4,5.4,1,none,38.55,3
student_0001,test_02,test_02_q_06,Fisica_Energia,lavoro,5,13.45,13.45,1,none,43.94,3
student_0001,test_02,test_02_q_07,Funzioni,dominio,3,10.79,10.79,1,none,36.06,4
student_0001,test_02,test_02_q_08,Fisica_Energia,energia_cinetica,3,12.28,9.45,0,concetto,34.5,2
student_0001,test_02,test_02_q_09,Derivate,regole_base,1,8.18,8.18,1,none,22.76,3
student_0001,test_02,test_02_q_10,Algebra,frazioni,4,12.43,12.43,1,none,27.42,4
student_0001,test_02,test_02_q_11,Fisica_Dinamica,forze,1,10.06,10.06,1,none,35.63,3
student_0001,test_02,test_02_q_12,Fisica_Energia,lavoro,3,13.33,13.33,1,none,30.5,3
student_0001,test_02,test_02_q_13,Fisica_Dinamica,newton,2,7.88,7.88,1,none,29.96,3
student_0001,test_02,test_02_q_14,Fisica_Dinamica,attrito,4,2.76,2.76,1,none,20.99,3
student_0001,test_02,test_02_q_15,Funzioni,grafico,1,5.01,5.01,1,none,35.64,4
student_0001,test_02,test_02_q_16,Funzioni,composizione,3,8.11,8.11,1,none,35.55,4
student_0001,test_02,test_02_q_17,Fisica_Dinamica,forze,5,8.22,9.44,0,formula,36.1,3
student_0001,test_02,test_02_q_18,Funzioni,composizione,4,8.97,19.36,0,concetto,41.47,3
student_0001,test_02,test_02_q_19,Derivate,regole_base,1,8.3,8.3,1,none,39.05,3
student_0001,test_02,test_02_q_20,Algebra,segni,4,12.17,13.58,0,algebra,23.86,3
student_0001,test_02,test_02_q_21,Funzioni,composizione,3,7.03,-7.03,0,segno,34.9,3
student_0001,test_02,test_02_q_22,Derivate,catena,1,7.35,7.35,1,none,25.66,3
student_0001,test_02,test_02_q_23,Fisica_Dinamica,attrito,3,10.11,15.57,0,distrazione,37.17,3
student_0001,test_02,test_02_q_24,Algebra,scomposizione,1,4.88,4.88,1,none,19.51,4
student_0001,test_02,test_02_q_25,Fisica_Dinamica,forze,3,11.1,20.17,0,concetto,36.42,3
student_0001,test_03,test_03_q_01,Algebra,segni,1,11.78,11.78,1,none,11.93,4
student_0001,test_03,test_03_q_02,Funzioni,composizione,1,4.06,4.06,1,none,12.09,4
student_0001,test_03,test_03_q_03,Fisica_Dinamica,newton,2,8.05,8.05,1,none,30.09,3
student_0001,test_03,test_03_q_04,Fisica_Energia,energia_cinetica,2,13.18,13.18,1,none,33.4,3
student_0001,test_03,test_03_q_05,Funzioni,dominio,1,4.92,4.92,1,none,24.25,4
student_0001,test_03,test_03_q_06,Fisica_Energia,energia_cinetica,4,14.19,23.89,0,concetto,19.74,2
student_0001,test_03,test_03_q_07,Funzioni,grafico,4,12.07,7.33,0,distrazione,43.86,3
student_0001,test_03,test_03_q_08,Derivate,regole_base,3,-0.66,-0.8,0,formula,39.46,2
student_0001,test_03,test_03_q_09,Fisica_Energia,lavoro,5,7.92,9.33,0,concetto,42.27,2
student_0001,test_03,test_03_q_10,Funzioni,composizione,3,9.3,9.3,1,none,27.46,4
student_0001,test_03,test_03_q_11,Funzioni,composizione,1,9.21,9.21,1,none,24.89,4
student_0001,test_03,test_03_q_12,Fisica_Energia,lavoro,3,1.63,1.48,0,formula,44.24,2
student_0001,test_03,test_03_q_13,Fisica_Dinamica,forze,1,11.4,11.4,1,none,17.28,3
student_0001,test_03,test_03_q_14,Funzioni,composizione,4,10.65,11.67,0,algebra,42.68,3
student_0001,test_03,test_03_q_15,Funzioni,dominio,4,4.08,7.4,0,concetto,50.67,3
student_0001,test_03,test_03_q_16,Fisica_Energia,lavoro,1,6.37,6.37,1,none,10.0,3
student_0001,test_03,test_03_q_17,Derivate,prodotto,2,14.19,14.19,1,none,25.36,3
student_0001,test_03,test_03_q_18,Fisica_Energia,conservazione,2,14.66,14.66,1,none,39.01,3
student_0001,test_03,test_03_q_19,Fisica_Dinamica,newton,4,9.8,9.48,0,formula,28.7,3
student_0001,test_03,test_03_q_20,Derivate,catena,5,12.23,13.89,0,concetto,29.49,2
